SOURCE: Abe paste 2026-08-31 (AI batch #2 for St. Anthony Port Reading, 04-1083). Gauntlet log in lpi/accounts/portreading-stanthony.md.
1. Funeral Home | Chubenko Funeral Home | (732) 634-6009 | 625 Port Reading Avenue, Port Reading NJ | https://www.chubenkofh.com/ | Family business founded in 1951; manager Gregory B. Chubenko
2. Funeral Home | Gerity & Chubenko Funeral Home | (732) 634-2818 | 411 Amboy Avenue, Woodbridge NJ | https://www.chubenkofh.com/ | Family business founded in 1951; manager Shawn A. Bukofsky
3. Funeral Home | Costello-Greiner Funeral Home | (732) 634-0264 | 44 Green Street, Woodbridge NJ | https://www.costello-greiner.com/location/woodbridge | Independent local funeral home
4. Funeral Home | Costello-Koyen Funeral Home | (732) 636-2275 | 399 Avenel Street, Avenel NJ | https://www.costello-greiner.com/location/woodbridge | Independent local funeral home
5. Funeral Home | Flynn and Son / Mitruska Funeral Home | (732) 826-0358 | 23 Ford Avenue, Fords NJ | https://www.flynnfuneral.com/locations | Manager Brendan J. Flynn Jr.; family funeral business
6. Funeral Home | Flynn and Son Funeral Home | (732) 826-0358 | 424 East Avenue, Perth Amboy NJ | https://www.flynnfuneral.com/locations | Manager James J. Flynn IV; shares family-home telephone
7. Funeral Home | Flynn and Son/Koyen Funeral Home | (732) 548-2134 | 319 Amboy Avenue, Metuchen NJ | https://www.flynnfuneral.com/locations | Manager Brendan J. Flynn Jr.; family funeral business
8. Funeral Home | Boylan Funeral Home | (732) 572-0076 | 10 Wooding Avenue, Edison NJ | https://www.edisonchamber.com/list/member/boylan-funeral-home-299 | Family-owned since 1890
9. Funeral Home | Gosselin Funeral Home | (732) 381-5858 | 660 New Dover Road, Edison NJ | https://www.yellowpages.com/edison-nj/mip/gosselin-funeral-home-17254806 | Independent local funeral home
10. Funeral Home | Ana Maria Zevallos/Skrocki Home for Funerals | (732) 826-1321 | 467 State Street, Perth Amboy NJ | https://www.zevallosskrockifunerals.com/ | Family-owned and operated; senior director Ana Maria Zevallos
11. Funeral Home | Gustav J. Novak Funeral Home | (732) 826-4525 | 419 Barclay Street, Perth Amboy NJ | https://www.gustavjnovakfh.com/contact-us | Family-owned and operated; serving the community since 1932
12. Funeral Home | The Gundrum Service | (732) 727-0666 | 237 Bordentown Avenue, South Amboy NJ | https://www.thegundrumservice.com/directions | Local funeral home founded in 1919
13. Funeral Home | Kurzawa Funeral Home | (732) 721-0475 | 338 Main Street, South Amboy NJ | https://www.kurzawafh.com/ | Serving South Amboy and Sayreville families since 1933
14. Funeral Home | Raritan Bay Funeral Service | (732) 313-7715 | 241 Bordentown Avenue, South Amboy NJ | https://www.raritanbayfunerals.com/about-us/about-us | Independent local funeral service
15. Funeral Home | Maliszewski Memorial Home | (732) 254-1428 | 121 Main Street, Sayreville NJ | https://www.spezzifuneralhome.com/ | Spezzi family-owned; owner-directors Christine, Meaghan, Carmen Jr. and Moira Spezzi
16. Funeral Home | Kowalski Funeral Home | (908) 486-7111 | 515 Roselle Street, Linden NJ | https://www.kowalskifuneralhome.com/ | Independent family-owned business established over 70 years ago; Teresa and Nicholas Kowalski
17. Funeral Home | Leonard Lee Funeral Home | (908) 486-4993 | 301 East Blancke Street, Linden NJ | https://www.leonardleefh.com/ | Family-owned and operated
18. Funeral Home | Gray & Pescitelli Funeral Home | (908) 276-0092 | 12 Springfield Avenue, Cranford NJ | https://www.graypescitelli.com/our-locations | Independent local funeral home
19. Funeral Home | Dooley Funeral Home | (908) 276-0255 | 218 North Avenue West, Cranford NJ | https://www.dooleyfuneral.com/who-we-are/facilities | Independent local funeral home
20. Funeral Home | Walter Johnson Funeral Home | (732) 382-6262 | 803 Raritan Road, Clark NJ | https://www.walterjohnsonfh.com/contact/overview | Family-owned, family-operated funeral provider
21. Funeral Home | Krowicki Gorny Memorial Home | (732) 382-1400 | 803 Raritan Road, Clark NJ | https://www.krowickigorny.com/services/service-options | Local family funeral provider
22. Funeral Home | Werson Funeral Home | (908) 486-4118 | 635 North Wood Avenue, Linden NJ | https://www.walterjohnsonfh.com/contact/overview | Family-owned, family-operated funeral provider
23. Cemetery | Rosedale-Rosehill Cemetery Main Office | (908) 862-4990 | 355 East Linden Avenue, Linden NJ | https://www.rosedale-rosehill.com/get-in-touch | More than 100 years of service
24. Attorney | Law Offices of Nolan & Lange | (732) 636-3344 | 61 Green Street, Woodbridge NJ | https://business.woodbridgechamber.com/member-directory/FindStartsWith?term=%23%21 | Independent local law office
25. Attorney | Wilentz, Goldman & Spitzer P.A. | (732) 855-6102 | 90 Woodbridge Center Drive, Woodbridge NJ | https://www.edisonchamber.com/list/category/attorney-5 | New Jersey-based law firm
26. Attorney | Chugh LLP | (732) 205-8600 | 295 Pierson Avenue, Edison NJ | https://www.edisonchamber.com/list/category/attorney-5 | Local Edison office
27. Attorney | Law Office of Barbara Ungar | (732) 828-8700 | 168 US Highway 1 North Suite 211, Edison NJ | https://www.edisonchamber.com/list/category/attorney-5 | Attorney-named independent practice
28. Attorney | Law Offices of Robert Zavistoski | (732) 991-7134 | 100 Plainfield Avenue Suite 2A, Edison NJ | https://www.edisonchamber.com/list/category/attorney-5 | Attorney-named independent practice
29. Attorney | Lee and Garasia LLC | (732) 516-1717 | 22 Bridge Street, Metuchen NJ | https://www.edisonchamber.com/list/category/attorney-5 | Independent local law firm
30. Attorney | Mezzacca & Kwasnik LLC | (732) 549-4600 | 980 Amboy Avenue Number 2, Edison NJ | https://www.edisonchamber.com/list/category/attorney-5 | Independent local law firm
31. Attorney | Pasricha & Patel LLC | (732) 593-6200 | 1794 Oak Tree Road, Edison NJ | https://www.edisonchamber.com/list/category/attorney-5 | Independent local law firm
32. Attorney | Rainone Coughlin Minchello LLC | (732) 709-4182 | 555 US Highway 1, Iselin NJ | https://www.edisonchamber.com/list/category/attorney-5 | New Jersey-based law firm
33. Attorney | Gerard J. Shamey Attorney at Law | (908) 276-0700 | 6 South Avenue East, Cranford NJ | https://downtowncranford.org/business/gerard-j-shamey-attorney-at-law/ | Attorney-named independent practice
34. Elder Law Attorney | Hynes Law Group | (908) 514-8008 | 109 Miln Street Suite 1, Cranford NJ | https://downtowncranford.org/business/hynes-law-group/ | Local elder-law and estate-planning practice
35. Accountant | Aditya Ravipati CPA LLC / TaxAssist Advisors | (732) 640-8595 | 142 Talmadge Road, Edison NJ | https://www.edisonchamber.com/list/category/accountants-2 | Owner-named local CPA practice
36. Accountant | Edison Tax Group LLC | (732) 646-7192 | 100 Plainfield Avenue Suite 3-E, Edison NJ | https://www.edisonchamber.com/list/category/accountants-2 | Independent local tax practice
37. Accountant | Ginensky & Ginensky LLC CPAs | (732) 388-9114 | 8 Yardley Street, Edison NJ | https://www.edisonchamber.com/list/category/accountants-2 | Family-named CPA practice
38. Accountant | Winter & Company PC | (732) 738-4400 | 605 King George Road, Fords NJ | https://www.edisonchamber.com/list/category/accountants-2 | Independent local CPA firm
39. Accountant | Casazza & Ur Public Accountants LLC | (732) 634-4930 | 150 Main Street, Woodbridge NJ | https://business.woodbridgechamber.com/member-directory/FindStartsWith?term=%23%21 | Partner-named local accounting firm
40. Accountant | Petrucelli Piotrowski & Co. Inc. | (732) 636-4400 | 263 Main Street, Woodbridge NJ | https://business.woodbridgechamber.com/member-directory/FindStartsWith?term=%23%21 | Partner-named local accounting firm
41. Accountant | Mears & McCullough CPAs | (908) 276-7686 | 29 South Avenue West, Cranford NJ | https://downtowncranford.org/business/mears-mccullough-cpas/ | Partner-named local CPA firm
42. Accountant | Edward Garber Computerized Tax Services | (908) 756-2224 | 1163 Inman Avenue Suite 102B, Edison NJ | https://www.edisonchamber.com/list/ql/business-professional-services-5 | Owner-named local tax practice
43. Financial Advisor | Primary Financial | (732) 346-2322 | 110 Fieldcrest Avenue 3rd Floor Suite 20, Edison NJ | https://www.edisonchamber.com/list/category/financial-investment-services-34 | Independent local financial practice
44. Financial Advisor | Keybridge Financial Group | (908) 276-5100 | 6 North Union Avenue, Cranford NJ | https://downtowncranford.org/business/keybridge-financial/ | Independent local financial practice
45. Financial Advisor | Senior Advisors | (908) 272-1970 | 15 Alden Street Suite 8, Cranford NJ | https://downtowncranford.org/business/senior-advisors/ | Local senior-focused financial practice
46. Bank | Manasquan Bank Metuchen | (732) 710-4524 | 429 Main Street Floor 2, Metuchen NJ | https://www.edisonchamber.com/list/category/financial-investment-services-34 | Local-number branch
47. Bank | Abacus Federal Savings Bank Edison | (732) 535-4882 | 869 US Route 1 South, Edison NJ | https://www.edisonchamber.com/list/category/financial-investment-services-34 | Local-number branch
48. Bank | Columbia Bank Raritan Center | (732) 346-1090 | 60 Raritan Center Parkway, Edison NJ | https://www.edisonchamber.com/list/category/banks-credit-unions-10 | Local-number branch
49. Bank | Provident Bank Amboy Avenue | (732) 225-0800 | 980 Amboy Avenue, Edison NJ | https://www.edisonchamber.com/list/category/banks-credit-unions-10 | Local-number branch
50. Credit Union | Affinity Federal Credit Union Edison | (908) 860-3571 | 2190 Route 27, Edison NJ | https://www.edisonchamber.com/list/category/banks-credit-unions-10 | Local-number branch
51. Bank | Amboy Bank Metuchen | (732) 906-3939 | 665 Middlesex Avenue, Metuchen NJ | https://www.edisonchamber.com/list/category/banks-credit-unions-10 | Community-bank branch with local number
